a6b,b7,b7a,DL,d1a1a,d2,MMs3,MMs5,MMs7,MMs9,MMs12,e1,k6
Small,20 - 40,No,Medium,Manufacturing of ,50 millions - 1 bilion,Yes,No,No,Yes,No,National,Yes
Medium,20 <,No,High,Wholesale trade of ,,No,No,No,Yes,No,International,Yes
Large,,No,High,Wholesale trade of ,500 000 - 50 million,No,No,No,Yes,No,Local,Yes
Medium,,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,Local,Yes
Small,20 - 40,No,Medium,Retail trade of ,50 millions - 1 bilion,Yes,No,Yes,No,,Local,No
Medium,20 <,No,High,Wholesale trade of ,50 millions - 1 bilion,Yes,No,No,No,,Local,Yes
Small,20 <,No,Medium,Provide services of ,500 000 - 50 million,Yes,Yes,No,Yes,No,International,No
Small,20 <,No,Low,Retail trade of ,500 000 <,No,No,Yes,Yes,No,International,Yes
Small,20 <,No,Low,Manufacturing of ,500 000 - 50 million,Yes,Yes,Yes,Yes,No,Local,Yes
Small,20 <,No,Medium,Retail trade of ,500 000 - 50 million,No,No,No,No,No,International,Yes
Medium,20 <,No,Medium,Provide services of ,50 millions - 1 bilion,No,No,No,No,,International,Yes
Large,20 <,Yes,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,National,Yes
Medium,20 - 40,No,Low,Manufacturing of ,,No,No,No,No,No,Local,No
Small,20 <,No,Medium,Manufacturing of ,500 000 - 50 million,No,No,No,No,No,Local,No
Large,20 <,No,High,Construction of,50 millions - 1 bilion,No,No,No,No,No,Local,No
Medium,20 - 40,No,High,Wholesale trade of ,50 millions - 1 bilion,No,Yes,Yes,Yes,No,International,Yes
Small,20 <,No,High,Wholesale trade of ,500 000 - 50 million,No,Yes,Yes,Yes,No,Local,Yes
Small,,Yes,High,Provide services of ,50 millions - 1 bilion,No,Yes,No,Yes,No,National,Yes
Large,20 <,No,High,Manufacturing of ,,No,No,No,No,No,International,Yes
Medium,20 - 40,No,High,Manufacturing of ,50 millions - 1 bilion,Yes,Yes,Yes,Yes,No,National,Yes
Large,20 - 40,No,High,Manufacturing of ,50 millions - 1 bilion,No,Yes,No,Yes,No,National,Yes
Medium,20 <,No,High,Provide services of ,500 000 - 50 million,No,No,No,No,No,National,Yes
Large,40 - 60,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,No,National,Yes
Small,20 <,No,Medium,Provide services of ,500 000 - 50 million,No,Yes,Yes,Yes,No,International,Yes
Large,20 <,No,Medium,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,Local,No
Large,20 - 40,No,Medium,Manufacturing of ,500 000 - 50 million,No,No,No,Yes,No,National,Yes
Small,20 <,No,Low,Retail trade of ,50 millions - 1 bilion,No,Yes,Yes,Yes,No,International,Yes
Medium,20 <,Yes,Medium,Retail trade of ,50 millions - 1 bilion,No,No,Yes,Yes,No,National,Yes
Large,20 <,Yes,High,Manufacturing of ,50 millions - 1 bilion,No,No,Yes,Yes,No,National,Yes
Small,20 <,No,Medium,Retail trade of ,500 000 - 50 million,No,No,No,No,No,National,No
Large,20 - 40,No,Medium,Manufacturing of ,< 1 billion ,Yes,Yes,Yes,Yes,No,National,Yes
Large,20 <,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,Yes,No,,National,Yes
Small,20 <,No,Medium,Manufacturing of ,,No,Yes,No,Yes,No,National,Yes
Large,20 - 40,No,High,Manufacturing of ,< 1 billion ,No,No,No,Yes,No,National,Yes
Small,20 <,No,Medium,Retail trade of ,50 millions - 1 bilion,No,Yes,Yes,Yes,No,National,Yes
Small,40 - 60,No,Low,Manufacturing of ,500 000 - 50 million,No,No,No,No,No,Local,Yes
Small,20 - 40,No,High,Retail trade of ,50 millions - 1 bilion,No,No,No,No,No,International,Yes
Small,40 - 60,No,Low,Retail trade of ,,No,No,No,No,No,Local,Yes
Medium,20 <,Yes,Medium,Manufacturing of ,,No,No,No,No,No,National,Yes
Large,40 - 60,No,High,Manufacturing of ,< 1 billion ,No,No,Yes,Yes,No,National,Yes
Medium,,No,Medium,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,National,Yes
Medium,20 - 40,No,High,Wholesale trade of ,50 millions - 1 bilion,No,No,Yes,Yes,No,International,Yes
Small,20 - 40,No,Medium,Manufacturing of ,500 000 - 50 million,Yes,Yes,Yes,Yes,Yes,Local,Yes
Medium,20 - 40,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,National,No
Medium,20 <,No,Medium,Manufacturing of ,50 millions - 1 bilion,No,Yes,Yes,Yes,No,National,Yes
Large,20 <,No,High,Manufacturing of ,< 1 billion ,No,No,No,Yes,No,International,No
Medium,20 - 40,No,High,Manufacturing of ,50 millions - 1 bilion,Yes,Yes,Yes,Yes,No,National,Yes
Medium,20 <,No,High,Provide services of ,50 millions - 1 bilion,No,No,No,No,No,International,Yes
Large,20 - 40,No,Medium,Manufacturing of ,50 millions - 1 bilion,No,No,Yes,Yes,No,National,Yes
Large,20 - 40,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,No,National,Yes
Large,20 <,No,Medium,Manufacturing of ,500 000 - 50 million,No,No,No,No,,Local,Yes
Large,20 - 40,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,National,Yes
Large,20 - 40,No,High,Manufacturing of ,500 000 - 50 million,No,No,No,No,No,Local,Yes
Medium,20 - 40,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,Yes,Yes,No,National,Yes
Medium,20 <,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,No,National,Yes
Small,20 - 40,No,Medium,Manufacturing of ,500 000 - 50 million,No,No,Yes,Yes,No,National,Yes
Medium,,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,No,National,Yes
Small,20 - 40,No,High,Wholesale trade of ,,No,No,No,No,No,National,No
Small,20 <,No,High,Retail trade of ,500 000 - 50 million,No,Yes,Yes,Yes,No,International,Yes
Medium,20 <,Yes,High,Manufacturing of ,50 millions - 1 bilion,No,Yes,No,No,,National,Yes
Medium,40 - 60,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,,National,Yes
Large,20 - 40,No,High,Manufacturing of ,< 1 billion ,No,No,No,Yes,No,National,Yes
Medium,20 <,No,Medium,Provide services of ,50 millions - 1 bilion,Yes,Yes,Yes,Yes,Yes,National,Yes
Medium,20 <,No,High,Retail trade of ,50 millions - 1 bilion,No,No,No,Yes,No,Local,Yes
Small,20 <,Yes,Low,Manufacturing of ,500 000 - 50 million,Yes,Yes,No,Yes,No,National,Yes
Small,20 <,Yes,Medium,Hotel or restaurant,500 000 - 50 million,No,No,No,Yes,No,International,Yes
Large,20 - 40,No,High,Manufacturing of ,< 1 billion ,No,No,No,No,No,National,Yes
Medium,20 <,No,Low,Retail trade of ,,No,No,No,Yes,No,International,Yes
Medium,40 - 60,No,Low,Wholesale trade of ,50 millions - 1 bilion,No,No,No,Yes,No,National,Yes
Small,20 <,No,Medium,Manufacturing of ,500 000 - 50 million,Yes,Yes,No,Yes,No,National,Yes
Medium,20 <,No,Medium,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,No,National,Yes
Small,40 - 60,No,High,Retail trade of ,50 millions - 1 bilion,Yes,Yes,Yes,Yes,No,Local,Yes
Medium,20 <,Yes,High,Manufacturing of ,50 millions - 1 bilion,No,No,Yes,No,,Local,Yes
Medium,40 - 60,No,High,Construction of,< 1 billion ,No,No,No,No,No,Local,Yes
Small,20 - 40,No,Low,Wholesale trade of ,500 000 - 50 million,No,No,No,Yes,No,National,Yes
Large,20 - 40,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,Yes,National,Yes
Small,20 <,No,Medium,Manufacturing of ,500 000 - 50 million,No,Yes,Yes,Yes,No,National,Yes
Medium,20 <,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,National,Yes
Medium,20 <,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,No,National,Yes
Medium,20 - 40,No,Medium,Wholesale trade of ,50 millions - 1 bilion,No,No,No,No,No,National,No
Large,40 - 60,No,Medium,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,National,Yes
Small,20 <,Yes,Medium,Retail trade of ,500 000 - 50 million,No,No,No,No,No,International,Yes
Small,20 <,No,Medium,Provide services of ,500 000 <,No,No,Yes,No,,International,Yes
Large,20 <,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,,National,Yes
Large,20 - 40,No,Medium,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,No,Local,Yes
Medium,20 - 40,No,High,Manufacturing of ,< 1 billion ,No,No,No,Yes,No,National,Yes
Small,20 <,No,Medium,Provide services of ,500 000 - 50 million,Yes,Yes,Yes,Yes,No,Local,Yes
Medium,20 - 40,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,National,Yes
Medium,20 - 40,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,Yes,Yes,No,National,Yes
Small,20 <,No,Medium,Construction of,500 000 - 50 million,No,No,No,No,No,International,Yes
Large,20 - 40,No,High,Provide services of ,50 millions - 1 bilion,Yes,Yes,Yes,Yes,No,National,Yes
Medium,20 <,Yes,Medium,Provide services of ,50 millions - 1 bilion,No,No,No,No,No,International,Yes
Small,20 <,No,High,Retail trade of ,500 000 - 50 million,No,No,No,No,No,Local,No
Small,20 <,No,Medium,Retail trade of ,500 000 - 50 million,No,No,Yes,Yes,No,Local,Yes
Small,20 <,No,Low,Retail trade of ,500 000 - 50 million,No,Yes,Yes,Yes,Yes,International,Yes
Medium,20 <,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,Yes,Yes,No,National,Yes
Medium,20 <,No,High,Hotel or restaurant,50 millions - 1 bilion,No,No,No,Yes,No,National,Yes
Large,20 <,Yes,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,No,National,Yes
Medium,20 - 40,Yes,High,Manufacturing of ,50 millions - 1 bilion,Yes,Yes,Yes,No,,International,Yes
Medium,20 <,Yes,High,Manufacturing of ,50 millions - 1 bilion,No,Yes,Yes,Yes,No,National,Yes
Medium,,,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,No,National,Yes
Medium,20 <,No,Medium,Construction of,500 000 - 50 million,Yes,Yes,Yes,Yes,No,International,Yes
Small,20 <,Yes,Medium,Provide services of ,500 000 - 50 million,No,Yes,Yes,Yes,No,International,Yes
Large,20 <,No,High,Retail trade of ,< 1 billion ,No,No,No,Yes,No,International,Yes
Small,20 - 40,No,Low,Manufacturing of ,500 000 - 50 million,No,No,No,No,No,Local,No
Medium,20 <,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,National,Yes
Medium,20 <,No,High,Manufacturing of ,50 millions - 1 bilion,No,Yes,Yes,Yes,No,National,Yes
Small,20 <,Yes,Medium,Manufacturing of ,500 000 - 50 million,No,Yes,No,Yes,No,Local,Yes
Small,20 <,Yes,Medium,Provide services of ,500 000 - 50 million,No,Yes,Yes,Yes,No,International,Yes
Large,20 - 40,No,High,Manufacturing of ,< 1 billion ,No,No,No,Yes,No,Local,Yes
Medium,40 - 60,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,Local,Yes
Large,20 - 40,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,,National,Yes
Medium,20 - 40,No,Medium,Manufacturing of ,500 000 - 50 million,No,No,No,No,No,Local,Yes
Small,20 - 40,No,High,Construction of,50 millions - 1 bilion,Yes,No,No,No,,International,Yes
Large,20 <,No,High,Manufacturing of ,,No,No,No,No,No,National,Yes
Large,20 - 40,No,High,Manufacturing of ,< 1 billion ,No,No,No,Yes,No,National,No
Large,20 - 40,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,No,National,Yes
Medium,20 - 40,Yes,High,Manufacturing of ,50 millions - 1 bilion,No,Yes,No,Yes,No,National,Yes
Large,20 - 40,No,High,Manufacturing of ,500 000 - 50 million,No,No,No,No,No,Local,Yes
Large,20 <,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,National,Yes
Large,20 <,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,Yes,Yes,No,National,Yes
Medium,20 <,No,High,Hotel or restaurant,500 000 - 50 million,No,No,Yes,Yes,No,Local,Yes
Medium,20 <,No,Medium,Manufacturing of ,50 millions - 1 bilion,No,Yes,No,Yes,No,Local,Yes
Large,20 <,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,National,Yes
Large,20 <,No,High,Hotel or restaurant,50 millions - 1 bilion,No,No,No,Yes,No,Local,Yes
Large,20 - 40,No,Medium,Manufacturing of ,50 millions - 1 bilion,Yes,Yes,No,Yes,Yes,Local,Yes
Medium,20 <,Yes,Medium,Construction of,500 000 - 50 million,No,Yes,Yes,No,,International,Yes
Medium,20 <,No,High,Retail trade of ,500 000 - 50 million,No,No,No,No,No,National,Yes
Medium,20 - 40,No,Low,Manufacturing of ,500 000 - 50 million,No,Yes,No,Yes,No,Local,Yes
Small,20 - 40,No,High,Retail trade of ,500 000 - 50 million,No,No,No,Yes,No,Local,Yes
Small,20 - 40,No,Medium,Manufacturing of ,500 000 - 50 million,No,No,No,Yes,No,National,Yes
Large,20 - 40,No,High,Manufacturing of ,50 millions - 1 bilion,No,Yes,No,No,,National,No
Small,20 <,No,High,Construction of,50 millions - 1 bilion,Yes,No,No,No,,International,Yes
Medium,20 - 40,No,High,Manufacturing of ,,No,No,No,Yes,No,National,Yes
Small,20 - 40,No,Low,Manufacturing of ,500 000 - 50 million,No,No,No,Yes,No,Local,Yes
Small,20 <,No,High,Manufacturing of ,500 000 - 50 million,No,No,No,No,No,International,Yes
Small,20 - 40,No,Low,Provide services of ,,Yes,Yes,Yes,Yes,No,Local,Yes
Small,20 <,No,High,Provide services of ,500 000 - 50 million,No,Yes,Yes,Yes,No,International,Yes
Large,20 <,No,Low,Construction of,50 millions - 1 bilion,Yes,No,No,Yes,No,International,Yes
Large,20 - 40,No,High,Manufacturing of ,50 millions - 1 bilion,No,Yes,Yes,Yes,No,National,Yes
Medium,20 - 40,No,High,Hotel or restaurant,,No,No,No,No,No,Local,No
Medium,20 - 40,No,High,Manufacturing of ,,No,No,Yes,No,,National,Yes
Medium,20 <,Yes,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,No,Local,Yes
Small,20 - 40,No,Low,Wholesale trade of ,,No,No,No,No,No,Local,Yes
Small,20 <,No,Medium,Manufacturing of ,500 000 <,Yes,Yes,Yes,Yes,No,Local,Yes
Small,20 <,No,Medium,Manufacturing of ,500 000 - 50 million,Yes,Yes,Yes,Yes,No,National,Yes
Small,20 <,No,Medium,Manufacturing of ,500 000 - 50 million,Yes,Yes,Yes,Yes,No,National,Yes
Small,20 - 40,No,Low,Manufacturing of ,,No,No,No,No,No,Local,Yes
Small,20 <,No,High,Retail trade of ,500 000 - 50 million,No,No,No,No,No,Local,Yes
Large,20 - 40,No,High,Manufacturing of ,,No,No,No,No,No,National,Yes
Medium,20 <,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,Yes,Yes,No,National,Yes
Medium,20 <,Yes,Low,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,Local,Yes
Small,20 - 40,No,High,Manufacturing of ,500 000 - 50 million,No,No,No,No,No,National,Yes
Small,20 - 40,No,Low,Manufacturing of ,500 000 - 50 million,No,No,No,Yes,No,Local,Yes
Medium,20 <,No,Low,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,National,Yes
Small,20 <,No,High,Provide services of ,500 000 - 50 million,No,Yes,Yes,No,,International,Yes
Small,20 - 40,No,Medium,Retail trade of ,50 millions - 1 bilion,No,Yes,Yes,Yes,No,Local,Yes
Small,20 <,No,Medium,Retail trade of ,500 000 - 50 million,No,No,Yes,Yes,No,Local,Yes
Medium,20 <,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,,National,Yes
Medium,20 <,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,Yes,No,National,No
Large,20 - 40,No,Medium,Provide services of ,50 millions - 1 bilion,No,Yes,Yes,Yes,No,Local,Yes
Medium,20 - 40,No,High,Manufacturing of ,500 000 - 50 million,No,No,Yes,Yes,No,Local,Yes
Medium,,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,Yes,Yes,No,National,Yes
Medium,20 <,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,Yes,Yes,No,National,Yes
Large,20 <,No,High,Manufacturing of ,,No,No,No,No,No,National,Yes
Medium,20 - 40,No,Medium,Wholesale trade of ,50 millions - 1 bilion,No,No,No,Yes,No,International,Yes
Medium,20 - 40,No,High,Manufacturing of ,50 millions - 1 bilion,No,No,No,No,No,National,Yes
Large,20 - 40,No,High,Provide services of ,< 1 billion ,No,No,No,Yes,No,Local,Yes
